date,epu,count
2009-09-08,2.0,125
2009-09-09,0.0,122
2009-09-10,0.0,105
2009-09-11,1.0,116
2009-09-12,0.0,57
2009-09-13,0.0,64
2009-09-14,2.0,116
2009-09-15,2.0,98
2009-09-16,2.0,101
2009-09-17,2.0,113
2009-09-18,1.0,135
2009-09-19,2.0,55
2009-09-20,0.0,50
2009-09-21,1.0,87
2009-09-22,0.0,104
2009-09-23,1.0,109
2009-09-24,0.0,122
2009-09-25,4.0,111
2009-09-26,2.0,49
2009-09-27,1.0,70
2009-09-28,3.0,105
2009-09-29,2.0,128
2009-09-30,1.0,101
2009-10-01,1.0,315
2009-10-02,0.0,71
2009-10-03,0.0,20
2009-10-04,0.0,18
2009-10-05,0.0,30
2009-10-06,0.0,33
2009-10-07,0.0,35
2009-10-08,0.0,33
2009-10-09,2.0,113
2009-10-10,2.0,64
2009-10-11,0.0,64
2009-10-12,0.0,135
2009-10-13,2.0,137
2009-10-14,1.0,137
2009-10-15,2.0,104
2009-10-16,0.0,127
2009-10-17,0.0,56
2009-10-18,0.0,71
2009-10-19,1.0,121
2009-10-20,0.0,113
2009-10-21,3.0,125
2009-10-22,0.0,149
2009-10-23,0.0,119
2009-10-24,0.0,70
2009-10-25,0.0,72
2009-10-26,1.0,120
2009-10-27,2.0,148
2009-10-28,1.0,134
2009-10-29,1.0,126
2009-10-30,3.0,132
2009-10-31,0.0,75
2009-11-01,1.0,57
2009-11-02,1.0,138
2009-11-03,2.0,142
2009-11-04,1.0,134
2009-11-05,0.0,127
2009-11-06,3.0,130
2009-11-07,0.0,60
2009-11-08,0.0,60
2009-11-09,2.0,141
2009-11-10,1.0,113
2009-11-11,1.0,133
2009-11-12,1.0,121
2009-11-13,1.0,137
2009-11-14,2.0,61
2009-11-15,0.0,64
2009-11-16,6.0,137
2009-11-17,0.0,151
2009-11-18,1.0,123
2009-11-19,0.0,130
2009-11-20,1.0,141
2009-11-21,0.0,65
2009-11-22,3.0,72
2009-11-23,1.0,112
2009-11-24,1.0,132
2009-11-25,0.0,123
2009-11-26,2.0,137
2009-11-27,1.0,129
2009-11-28,1.0,54
2009-11-29,0.0,62
2009-11-30,1.0,133
2009-12-01,0.0,118
2009-12-02,0.0,138
2009-12-03,0.0,128
2009-12-04,2.0,123
2009-12-05,0.0,68
2009-12-06,0.0,65
2009-12-07,1.0,135
2009-12-08,1.0,127
